Order_Id,User_Id,Brand_Id,Product_Id,Order Date ,Quantities Sold,Total Order Price
O1,u38816,B1,P7,11/13/2019,12,$510.21
O2,u24354,B1,P18,3/31/2019,15,$571.47
O3,u5762,B1,P35,12/11/2019,14,$340.95
O4,u12213,B1,P23,10/19/2019,15,$284.30
O5,u33417,B1,P24,1/21/2019,1,$16.29
O6,u4472,B1,P26,12/15/2019,3,$65.41
O7,u39911,B1,P2,9/3/2019,9,$179.07
O8,u11127,B1,P34,4/27/2019,4,$114.27
O9,u32357,B1,P8,3/3/2019,13,$395.63
O10,u25010,B1,P17,8/2/2019,15,$911.21
O11,u34171,B1,P28,4/22/2019,15,$452.66
O12,u22789,B1,P21,3/24/2019,11,$687.73
O13,u39067,B1,P8,6/1/2019,9,$273.90
O14,u7419,B1,P4,3/16/2019,5,$92.22
O15,u18450,B1,P4,9/7/2019,12,$221.33
O16,u41720,B1,P14,10/10/2019,10,$299.55
O17,u46561,B1,P5,4/15/2019,9,$283.45
O18,u36152,B1,P23,5/21/2019,7,$132.68
O19,u20685,B1,P18,3/16/2019,10,$380.98
O20,u11154,B1,P16,11/28/2019,1,$43.44
O21,u34280,B1,P6,11/6/2019,4,$164.05
O22,u15636,B1,P26,5/31/2019,6,$130.83
O23,u14554,B1,P25,8/31/2019,11,$249.26
O24,u2538,B1,P9,4/1/2019,5,$193.58
O25,u44029,B1,P36,9/8/2019,10,$281.04
O26,u1341,B1,P36,2/1/2019,13,$365.35
O27,u17678,B1,P28,5/9/2019,4,$120.71
O28,u16760,B1,P5,8/17/2019,11,$346.44
O29,u13570,B1,P13,5/13/2019,10,$529.80
O30,u35674,B1,P18,10/7/2019,4,$152.39
O31,u9308,B1,P18,1/20/2019,9,$342.88
O32,u48025,B1,P6,7/28/2019,14,$574.18
O33,u18290,B1,P2,8/15/2019,15,$298.45
O34,u46440,B1,P24,8/23/2019,14,$228.08
O35,u46676,B1,P30,3/11/2019,7,$132.67
O36,u47836,B1,P10,10/22/2019,6,$328.05
O37,u32413,B1,P17,7/16/2019,13,$789.71
O38,u44183,B1,P36,6/13/2019,7,$196.73
O39,u33473,B1,P17,12/7/2019,15,$911.21
O40,u49619,B1,P30,9/25/2019,3,$56.86
O41,u21217,B1,P35,7/5/2019,15,$365.30
O42,u34835,B1,P36,10/23/2019,14,$393.45
O43,u32235,B1,P21,2/11/2019,15,$937.81
O44,u14209,B1,P3,6/10/2019,13,$310.35
O45,u14886,B1,P7,3/28/2019,8,$340.14
O46,u45788,B1,P30,7/29/2019,10,$189.53
O47,u14818,B1,P8,8/25/2019,3,$91.30
O48,u32614,B1,P19,7/8/2019,9,$309.11
O49,u42736,B1,P31,11/17/2019,6,$119.10
O50,u46772,B1,P26,4/2/2019,2,$43.61
O51,u11599,B1,P35,6/17/2019,6,$146.12
O52,u25280,B1,P24,3/8/2019,6,$97.75
O53,u23860,B1,P35,2/4/2019,14,$340.95
O54,u31727,B1,P30,8/9/2019,10,$189.53
O55,u548,B1,P1,2/3/2019,1,$14.19
O56,u6401,B1,P33,12/24/2019,11,$374.86
O57,u16468,B1,P36,1/31/2019,3,$84.31
O58,u14223,B1,P15,2/7/2019,9,$496.16
O59,u21908,B1,P15,11/10/2019,5,$275.64
O60,u37743,B1,P34,3/23/2019,12,$342.80
O61,u23623,B1,P34,7/22/2019,12,$342.80
O62,u26948,B1,P26,8/5/2019,2,$43.61
O63,u12850,B1,P15,10/16/2019,10,$551.29
O64,u28925,B1,P36,12/2/2019,7,$196.73
O65,u37435,B1,P27,3/22/2019,6,$174.61
O66,u5254,B1,P17,1/25/2019,12,$728.97
O67,u29198,B1,P26,9/1/2019,2,$43.61
O68,u107,B1,P8,9/24/2019,6,$182.60
O69,u27323,B1,P24,8/14/2019,9,$146.63
